,Date,Daily Closing Price
0,2015-07-01,257.62
1,2015-07-02,254.54
2,2015-07-03,255.92
3,2015-07-04,260.2
4,2015-07-05,271.5
5,2015-07-06,268.51
6,2015-07-07,265.51
7,2015-07-08,270.63
8,2015-07-09,268.92
9,2015-07-10,285.23
10,2015-07-11,291.64
11,2015-07-12,310.55
12,2015-07-13,292.68
13,2015-07-14,287.55
14,2015-07-15,285.67
15,2015-07-16,277.89
16,2015-07-17,279.43
17,2015-07-18,276.79
18,2015-07-19,275.47
19,2015-07-20,278.96
20,2015-07-21,276.76
21,2015-07-22,277.68
22,2015-07-23,276.61
23,2015-07-24,289.01
24,2015-07-25,288.78
25,2015-07-26,293.19
26,2015-07-27,294.29
27,2015-07-28,294.01
28,2015-07-29,289.85
29,2015-07-30,288.01
30,2015-07-31,284.33
31,2015-08-01,280.19
32,2015-08-02,282.32
33,2015-08-03,280.43
34,2015-08-04,285.0
35,2015-08-05,281.13
36,2015-08-06,277.48
37,2015-08-07,279.63
38,2015-08-08,262.19
39,2015-08-09,265.05
40,2015-08-10,264.33
41,2015-08-11,271.15
42,2015-08-12,267.73
43,2015-08-13,264.48
44,2015-08-14,265.4
45,2015-08-15,261.46
46,2015-08-16,256.11
47,2015-08-17,256.47
48,2015-08-18,224.8
49,2015-08-19,226.92
50,2015-08-20,235.54
51,2015-08-21,233.49
52,2015-08-22,231.0
53,2015-08-23,228.89
54,2015-08-24,209.72
55,2015-08-25,222.38
56,2015-08-26,225.8
57,2015-08-27,225.09
58,2015-08-28,231.65
59,2015-08-29,230.54
60,2015-08-30,229.0
61,2015-08-31,229.86
62,2015-09-01,227.96
63,2015-09-02,229.18
64,2015-09-03,227.28
65,2015-09-04,230.52
66,2015-09-05,235.6
67,2015-09-06,240.28
68,2015-09-07,240.19
69,2015-09-08,244.21
70,2015-09-09,238.35
71,2015-09-10,238.66
72,2015-09-11,240.0
73,2015-09-12,234.79
74,2015-09-13,229.66
75,2015-09-14,229.71
76,2015-09-15,230.03
77,2015-09-16,228.34
78,2015-09-17,232.17
79,2015-09-18,233.12
80,2015-09-19,230.0
81,2015-09-20,230.16
82,2015-09-21,226.15
83,2015-09-22,230.42
84,2015-09-23,229.42
85,2015-09-24,233.86
86,2015-09-25,235.22
87,2015-09-26,233.81
88,2015-09-27,232.41
89,2015-09-28,239.14
90,2015-09-29,236.94
91,2015-09-30,236.2
92,2015-10-01,237.15
93,2015-10-02,237.77
94,2015-10-03,238.95
95,2015-10-04,238.6
96,2015-10-05,240.84
97,2015-10-06,246.57
98,2015-10-07,243.2
99,2015-10-08,242.9
100,2015-10-09,244.48
101,2015-10-10,245.71
102,2015-10-11,248.05
103,2015-10-12,245.81
104,2015-10-13,249.73
105,2015-10-14,252.47
106,2015-10-15,254.49
107,2015-10-16,263.09
108,2015-10-17,270.07
109,2015-10-18,261.05
110,2015-10-19,263.66
111,2015-10-20,270.64
112,2015-10-21,267.89
113,2015-10-22,275.21
114,2015-10-23,278.6
115,2015-10-24,282.84
116,2015-10-25,283.96
117,2015-10-26,286.9
118,2015-10-27,295.54
119,2015-10-28,305.67
120,2015-10-29,314.82
121,2015-10-30,328.65
