,Date,Volume (BTC)
0,2015-07-01,13395.1534389
1,2015-07-02,9826.99478118
2,2015-07-03,9153.85256545
3,2015-07-04,7909.85672863
4,2015-07-05,21362.613649799998
5,2015-07-06,20027.861468
6,2015-07-07,13755.629975900001
7,2015-07-08,16042.2682899
8,2015-07-09,13906.6444512
9,2015-07-10,29151.3133528
10,2015-07-11,11693.2243539
11,2015-07-12,22497.4677068
12,2015-07-13,29775.979071900005
13,2015-07-14,10361.0795834
14,2015-07-15,9798.37507573
15,2015-07-16,21103.3415864
16,2015-07-17,11477.055424600001
17,2015-07-18,9362.07781804
18,2015-07-19,5289.04082007
19,2015-07-20,8818.52863456
20,2015-07-21,9000.55491406
21,2015-07-22,8318.46305673
22,2015-07-23,6439.61293326
23,2015-07-24,15854.0965581
24,2015-07-25,7545.88543693
25,2015-07-26,5298.46650719
26,2015-07-27,14650.732870500002
27,2015-07-28,8799.04307675
28,2015-07-29,10236.162522
29,2015-07-30,8108.62119163
30,2015-07-31,7902.76753725
31,2015-08-01,7104.06661942
32,2015-08-02,4530.17731374
33,2015-08-03,6310.6073655
34,2015-08-04,6206.11834372
35,2015-08-05,6549.54626379
36,2015-08-06,7123.8125234
37,2015-08-07,8664.80904921
38,2015-08-08,10269.868457100001
39,2015-08-09,8870.57957844
40,2015-08-10,9697.41976405
41,2015-08-11,8394.1157499
42,2015-08-12,9520.31458102
43,2015-08-13,10710.9741994
44,2015-08-14,8012.603053399999
45,2015-08-15,5485.63052139
46,2015-08-16,9633.27576804
47,2015-08-17,8655.18980482
48,2015-08-18,16141.820382499998
49,2015-08-19,24295.0725551
50,2015-08-20,15812.3347442
51,2015-08-21,10296.317503299999
52,2015-08-22,15856.245550200001
53,2015-08-23,12842.4666912
54,2015-08-24,37523.083383699995
55,2015-08-25,42308.0056295
56,2015-08-26,24007.5952041
57,2015-08-27,14366.263835
58,2015-08-28,22900.186944499997
59,2015-08-29,15490.5591914
60,2015-08-30,15486.3599446
61,2015-08-31,15803.5188551
62,2015-09-01,23925.1868464
63,2015-09-02,21470.7688289
64,2015-09-03,19739.6291001
65,2015-09-04,20870.0161942
66,2015-09-05,20103.0400909
67,2015-09-06,25758.8918289
68,2015-09-07,23152.031562
69,2015-09-08,24023.879060799998
70,2015-09-09,23251.8655443
71,2015-09-10,20694.9191514
72,2015-09-11,13805.1768468
73,2015-09-12,17449.1185995
74,2015-09-13,19655.12044
75,2015-09-14,16674.856615099998
76,2015-09-15,17298.6121681
77,2015-09-16,18169.4622908
78,2015-09-17,14645.7362944
79,2015-09-18,19458.9049459
80,2015-09-19,11230.7579244
81,2015-09-20,13401.1449528
82,2015-09-21,14081.3071016
83,2015-09-22,19332.8796169
84,2015-09-23,13586.087365200001
85,2015-09-24,24202.736357700003
86,2015-09-25,22555.4454003
87,2015-09-26,15109.424108500001
88,2015-09-27,17506.4494094
89,2015-09-28,17566.826435299998
90,2015-09-29,19877.454879400004
91,2015-09-30,20934.8464935
92,2015-10-01,20341.008191999998
93,2015-10-02,16908.034672799997
94,2015-10-03,17825.617638
95,2015-10-04,15015.066718900001
96,2015-10-05,20316.5036491
97,2015-10-06,26684.2475255
98,2015-10-07,23768.196912
99,2015-10-08,13983.7520565
100,2015-10-09,14099.9155384
101,2015-10-10,17313.142353400002
102,2015-10-11,19140.3554108
103,2015-10-12,10671.7037641
104,2015-10-13,25901.6028477
105,2015-10-14,26942.8709963
106,2015-10-15,22037.6280105
107,2015-10-16,34816.7410938
108,2015-10-17,25328.1489773
109,2015-10-18,10003.1266719
110,2015-10-19,16704.698813400002
111,2015-10-20,28967.441252700002
112,2015-10-21,20396.7780131
113,2015-10-22,30166.4254425
114,2015-10-23,21572.268470500003
115,2015-10-24,20586.3350175
116,2015-10-25,30003.5865565
117,2015-10-26,21266.472995400003
118,2015-10-27,34002.1486518
119,2015-10-28,31263.171006800003
120,2015-10-29,32258.307426099997
121,2015-10-30,39364.0282073
122,2015-10-31,28765.1783626
