,Date,Volume (Currency)
0,2015-07-01,3453025.8609300004
1,2015-07-02,2515778.5069999998
2,2015-07-03,2331332.00288
3,2015-07-04,2037201.25208
4,2015-07-05,5689203.0574199995
5,2015-07-06,5473288.27375
6,2015-07-07,3670683.41294
7,2015-07-08,4305219.36071
8,2015-07-09,3744064.7316
9,2015-07-10,8292731.39905
10,2015-07-11,3420769.32036
11,2015-07-12,6901059.79474
12,2015-07-13,8680289.61299
13,2015-07-14,3016087.5531200003
14,2015-07-15,2842900.80684
15,2015-07-16,5937851.729619999
16,2015-07-17,3175870.23335
17,2015-07-18,2609994.79447
18,2015-07-19,1460235.90879
19,2015-07-20,2446038.23309
20,2015-07-21,2511729.8846
21,2015-07-22,2300120.88279
22,2015-07-23,1784595.61205
23,2015-07-24,4513273.28038
24,2015-07-25,2181492.66578
25,2015-07-26,1545190.05202
26,2015-07-27,4276819.0426199995
27,2015-07-28,2592630.36796
28,2015-07-29,2975568.8735599997
29,2015-07-30,2333060.2176099997
30,2015-07-31,2245587.52777
31,2015-08-01,1992192.81419
32,2015-08-02,1265880.6823200001
33,2015-08-03,1786928.27498
34,2015-08-04,1760746.60178
35,2015-08-05,1850415.9356799999
36,2015-08-06,1985840.1915799999
37,2015-08-07,2403686.81248
38,2015-08-08,2777400.00856
39,2015-08-09,2343259.5122599998
40,2015-08-10,2562673.47482
41,2015-08-11,2235123.97166
42,2015-08-12,2552596.77518
43,2015-08-13,2839488.04495
44,2015-08-14,2121755.47959
45,2015-08-15,1450606.74456
46,2015-08-16,2480559.46442
47,2015-08-17,2224063.09502
48,2015-08-18,3992017.8500099997
49,2015-08-19,5617682.67114
50,2015-08-20,3691074.43489
51,2015-08-21,2406953.01487
52,2015-08-22,3633435.05395
53,2015-08-23,2948508.07418
54,2015-08-24,8154700.2007
55,2015-08-25,9091324.50085
56,2015-08-26,5434957.380419999
57,2015-08-27,3249912.0309099997
58,2015-08-28,5241943.6133
59,2015-08-29,3565617.5903
60,2015-08-30,3532995.2960599996
61,2015-08-31,3616802.13504
62,2015-09-01,5460038.14019
63,2015-09-02,4909260.74044
64,2015-09-03,4494648.75787
65,2015-09-04,4786524.88065
66,2015-09-05,4692704.30286
67,2015-09-06,6192929.55235
68,2015-09-07,5567107.9653
69,2015-09-08,5854496.85678
70,2015-09-09,5579259.41795
71,2015-09-10,4949167.98417
72,2015-09-11,3309006.8742
73,2015-09-12,4143757.6588
74,2015-09-13,4546007.725
75,2015-09-14,3827895.67575
76,2015-09-15,3976679.5657800003
77,2015-09-16,4135855.7057199995
78,2015-09-17,3380034.3623599997
79,2015-09-18,4535082.4343
80,2015-09-19,2601612.79874
81,2015-09-20,3087488.55339
82,2015-09-21,3196957.2348
83,2015-09-22,4412739.0683699995
84,2015-09-23,3126033.69447
85,2015-09-24,5608546.02422
86,2015-09-25,5304812.20784
87,2015-09-26,3540710.50952
88,2015-09-27,4071220.17625
89,2015-09-28,4169714.96144
90,2015-09-29,4723484.6947
91,2015-09-30,4947383.2959900005
92,2015-10-01,4823180.19657
93,2015-10-02,4015993.33858
94,2015-10-03,4247863.43531
95,2015-10-04,3587379.7799199997
96,2015-10-05,4840156.014719999
97,2015-10-06,6485292.2406
98,2015-10-07,5823652.60782
99,2015-10-08,3407661.33155
100,2015-10-09,3433311.67226
101,2015-10-10,4239440.7284699995
102,2015-10-11,4731236.28509
103,2015-10-12,2633713.4786900003
104,2015-10-13,6380494.83811
105,2015-10-14,6753537.32685
106,2015-10-15,5614843.8201
107,2015-10-16,9087466.92268
108,2015-10-17,6801861.47795
109,2015-10-18,2644951.59149
110,2015-10-19,4381700.26017
111,2015-10-20,7721192.76258
112,2015-10-21,5479672.38106
113,2015-10-22,8260174.53435
114,2015-10-23,5984624.44767
115,2015-10-24,5767325.86857
116,2015-10-25,8680118.08745
117,2015-10-26,6035103.099219999
118,2015-10-27,9964151.02731
119,2015-10-28,9436170.14113
120,2015-10-29,10020832.7633
121,2015-10-30,12770329.0568
122,2015-10-31,9150844.319039999
123,2015-11-01,4520744.07092
124,2015-11-02,15705858.6864
125,2015-11-03,30053087.8339
126,2015-11-04,47199586.9182
127,2015-11-05,24185444.128000002
128,2015-11-06,17530874.2175
129,2015-11-07,10103834.2098
130,2015-11-08,10459783.9963
131,2015-11-09,9765480.26476
132,2015-11-10,17451748.997
133,2015-11-11,16138605.4874
134,2015-11-12,12327089.4267
135,2015-11-13,8239048.11008
136,2015-11-14,8596759.48718
137,2015-11-15,8952296.30045
138,2015-11-16,7220301.63287
139,2015-11-17,9324687.15739
