,Date,Average Volume per Week
0,2013-04-14,1815588.2034238575
1,2013-04-21,1770383.1944265715
2,2013-04-28,1770067.1996580001
3,2013-05-05,1154001.0320842857
4,2013-05-12,822310.201870857
5,2013-05-19,849963.5061195715
6,2013-05-26,837538.4272837143
7,2013-06-02,1093472.4571835713
8,2013-06-09,1154562.4490740001
9,2013-06-16,719204.6217137143
10,2013-06-23,677487.8802147143
11,2013-06-30,1424553.9640832858
12,2013-07-07,1460507.6977384288
13,2013-07-14,873134.3834962858
14,2013-07-21,674094.644417857
15,2013-07-28,1013323.8961935715
16,2013-08-04,817910.1547312856
17,2013-08-11,896492.8550502857
18,2013-08-18,1281716.5185018573
19,2013-08-25,1650546.8848985715
20,2013-09-01,1704936.1733314286
21,2013-09-08,1557710.12208
22,2013-09-15,1080207.2881742858
23,2013-09-22,978389.1208405712
24,2013-09-29,2106638.0557717145
25,2013-10-06,1334196.627767143
26,2013-10-13,3334653.8075614288
27,2013-10-20,5345651.253071428
28,2013-10-27,2553823.4662557137
29,2013-11-03,10115459.27748
30,2013-11-10,12143378.412368571
31,2013-11-17,24793731.79822857
32,2013-11-24,23300537.68512857
33,2013-12-01,39489818.78625714
34,2013-12-08,17991968.505349997
35,2013-12-15,32554870.848921426
36,2013-12-22,10568151.282550002
37,2013-12-29,7825315.218691428
38,2014-01-05,20219414.147757143
39,2014-01-12,9907565.548395714
40,2014-01-19,7302718.7755371425
41,2014-01-26,10309483.659284284
42,2014-02-02,13165671.028882857
43,2014-02-09,23937372.830271427
44,2014-02-16,13363540.866439998
45,2014-02-23,22417476.788124286
46,2014-03-02,14103459.185664285
47,2014-03-09,5620338.091418572
48,2014-03-16,6899348.306871429
49,2014-03-23,9857013.266214285
50,2014-03-30,10350861.855409998
51,2014-04-06,7567577.801115714
52,2014-04-13,10331854.031637145
53,2014-04-20,5361939.151575714
54,2014-04-27,4925548.33923
55,2014-05-04,3354204.76271
56,2014-05-11,2359729.9423828567
57,2014-05-18,6063886.279224286
58,2014-05-25,8380858.761875714
59,2014-06-01,9113925.01145
60,2014-06-08,7350938.9359514285
61,2014-06-15,4001665.5430114293
62,2014-06-22,3444652.7614871426
63,2014-06-29,4307041.717519001
64,2014-07-06,2823813.1738942857
65,2014-07-13,2558291.979495714
66,2014-07-20,2745785.0384237138
67,2014-07-27,4482889.08194
68,2014-08-03,2755706.531712143
69,2014-08-10,7291454.69139
70,2014-08-17,8058422.931417143
71,2014-08-24,3255157.79508
72,2014-08-31,3526673.05142
73,2014-09-07,3916787.6021642857
74,2014-09-14,6121370.319942857
75,2014-09-21,5718725.500117143
76,2014-09-28,6496122.489284285
77,2014-10-05,12403672.706278572
78,2014-10-12,6901701.64391
79,2014-10-19,4185462.945081428
80,2014-10-26,3644373.472102857
81,2014-11-02,3546544.921012857
82,2014-11-09,9522949.468465714
83,2014-11-16,5180609.330654286
84,2014-11-23,4468741.791368571
85,2014-11-30,2588668.0099377143
86,2014-12-07,3501134.4113704287
87,2014-12-14,4881345.309398571
88,2014-12-21,2361599.3988685715
89,2014-12-28,2400217.8075622856
90,2015-01-04,3589846.4498657146
91,2015-01-11,10376616.649588572
92,2015-01-18,3913370.867982857
93,2015-01-25,7218737.995705714
94,2015-02-01,3228251.1642942852
95,2015-02-08,3247966.8299742853
96,2015-02-15,3070851.9501309996
97,2015-02-22,1956527.7738495714
98,2015-03-01,3353471.2656628573
