,Pageviews
0,12957
1,9802
2,8307
3,8947
4,8692
5,10263
6,11220
7,11147
8,9613
9,8269
10,6960
11,7266
12,8912
13,7770
14,7408
15,7666
16,7071
17,6207
18,9122
19,8820
20,8484
21,8727
22,9252
23,7723
24,7085
25,8297
26,9446
27,9259
28,8886
29,8411
30,7078
31,19155
32,13380
33,10226
34,8776
35,8297
36,7852
37,7736
38,6784
39,6776
40,7722
41,7975
42,8033
43,9529
44,7164
45,6294
46,6528
47,7516
48,11266
49,11741
50,10337
51,9526
52,7411
53,8932
54,11436
55,9503
56,10627
57,8331
58,7371
59,8043
60,9233
61,8710
62,9295
63,8402
64,7967
65,6925
66,5814
67,6183
68,7366
69,8373
70,7966
71,8087
72,7807
73,6732
74,6759
75,9968
76,8844
77,8529
78,8761
79,9291
80,7344
81,7185
82,8482
83,9391
84,40016
85,7567
86,9114
87,5945
88,6308
89,7258
90,7439
91,7521
92,6915
93,6633
94,5799
95,6556
96,7937
97,10580
98,9002
99,7988
100,6977
101,5760
102,6282
103,7768
104,7733
105,9130
106,7470
107,6956
108,5901
109,6319
110,8297
111,8665
112,8204
113,8587
114,8024
115,6160
116,6783
117,8519
118,9033
119,9695
120,10211
121,9029
122,6855
123,8294
124,10020
125,11545
126,14390
127,16294
128,11448
129,8075
130,7956
131,11166
132,10928
133,9358
134,9258
135,8749
136,6794
137,7023
138,8825
139,9949
140,9285
141,8819
142,8254
143,7416
144,7287
145,8246
146,7454
147,7164
148,9513
149,7169
150,6462
151,7059
152,9143
153,9392
154,8799
155,8288
156,8029
157,7077
158,7456
159,8731
160,15178
161,63357
162,28831
163,15030
164,10109
165,9965
166,10789
167,13363
168,12503
169,10082
170,8657
171,7633
172,7718
173,9199
174,8303
175,8266
176,7148
177,6632
178,8664
179,13392
180,9782
181,8690
182,8638
183,7240
184,6245
185,7707
186,9635
187,9914
188,9817
189,8812
190,10472
191,8982
192,7506
193,7441
194,9126
195,8556
196,8535
197,8500
198,10379
199,9734
200,10163
201,11240
202,10285
203,9594
204,9741
205,8986
206,6951
207,7644
208,8952
209,8795
210,10330
211,10867
212,9933
213,7305
214,6889
215,8159
216,8575
217,8334
218,8405
219,7286
220,6576
221,7257
222,7862
223,8240
224,8415
225,8508
226,8265
227,7304
228,8707
229,11516
230,11652
231,11247
232,22016
233,15488
234,11468
235,11411
236,11126
237,10140
238,9726
239,9689
240,8563
241,7438
242,7501
243,8818
244,9774
245,9169
246,9718
247,8221
248,7319
249,7807
250,9903
251,9547
252,8667
253,8231
254,7550
255,6256
256,7127
257,10334
258,9939
259,8767
260,8000
261,7261
262,5803
263,6392
264,7624
265,8206
266,8114
267,8782
268,7324
269,6252
270,6509
271,7847
272,8713
273,8453
274,8131
275,7467
276,6114
277,7076
278,8360
279,9526
280,8212
281,8289
282,8760
283,6351
284,6910
285,9268
286,8641
287,9055
288,8202
289,7162
290,5785
291,6340
292,7743
293,9076
294,8403
295,11381
296,9665
297,7170
298,8433
299,9045
300,9250
301,8777
302,9540
303,7765
304,6176
305,6593
306,88391
307,43326
308,20101
309,25386
310,17048
311,11166
312,11207
313,13087
314,12193
315,10845
316,11455
317,9489
318,12031
319,11799
320,11516
321,8974
322,9947
323,12168
324,8393
325,6660
326,7085
327,8706
328,8943
329,8226
330,8012
331,7843
332,7516
333,7165
334,12745
335,13783
336,10917
337,9668
338,9507
339,7824
340,11299
341,10305
342,9828
343,9526
344,9328
345,8527
346,7960
347,8817
348,12454
349,10859
350,10005
351,10618
352,10851
353,8859
354,9315
355,11896
356,11977
357,9837
358,9912
359,19135
360,12669
361,8292
362,11629
363,10003
364,10158
365,9599
366,8764
367,7717
368,8615
369,9364
370,9447
371,9129
372,9574
373,8771
374,8843
375,10305
376,10443
377,10146
378,10027
379,9109
380,8596
381,7157
382,8148
383,8920
384,8270
385,8357
386,8658
387,9800
388,6549
389,7274
390,9280
391,10095
392,10107
393,9118
394,8102
395,7619
396,68433
397,7849
398,8291
399,18927
400,12782
401,9473
402,7570
403,13610
404,12052
405,11249
